dtype,config,n,k,tokens,dist,min_m,max_m,avg_m,cluster_m,cluster_n,raster,max_sm,use_pdl,gflops_1sm,gflops_2sm,gflops,kernel
RCGrouped-FP8,1SM,4096,6144,122880,imbalanced,2048,30720,7680.0,4,2,M,-1,1,2577080.0,3378610.0,3378610.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,122880,imbalanced,2048,30720,7680.0,4,2,M,-1,1,2577080.0,3378610.0,3378610.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,245760,uniform,15360,15360,15360.0,1,1,M,-1,0,2742110.0,0.0,2742110.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,245760,uniform,15360,15360,15360.0,1,1,M,-1,1,2597070.0,0.0,2597070.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,245760,uniform,15360,15360,15360.0,2,1,M,-1,0,2708170.0,3468570.0,3468570.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,245760,uniform,15360,15360,15360.0,2,1,M,-1,0,2708170.0,3468570.0,3468570.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,245760,uniform,15360,15360,15360.0,2,1,M,-1,1,2599980.0,3385280.0,3385280.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,245760,uniform,15360,15360,15360.0,2,1,M,-1,1,2599980.0,3385280.0,3385280.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,245760,uniform,15360,15360,15360.0,2,2,M,-1,0,2482500.0,3372120.0,3372120.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,245760,uniform,15360,15360,15360.0,2,2,M,-1,0,2482500.0,3372120.0,3372120.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,245760,uniform,15360,15360,15360.0,2,2,M,-1,1,2468480.0,3387390.0,3387390.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,245760,uniform,15360,15360,15360.0,2,2,M,-1,1,2468480.0,3387390.0,3387390.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,245760,uniform,15360,15360,15360.0,4,2,M,-1,0,2499140.0,3390280.0,3390280.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,245760,uniform,15360,15360,15360.0,4,2,M,-1,0,2499140.0,3390280.0,3390280.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,245760,uniform,15360,15360,15360.0,4,2,M,-1,1,2507420.0,3423690.0,3423690.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,245760,uniform,15360,15360,15360.0,4,2,M,-1,1,2507420.0,3423690.0,3423690.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,245760,imbalanced,3840,61440,15360.0,1,1,M,-1,0,2716650.0,0.0,2716650.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,245760,imbalanced,3840,61440,15360.0,1,1,M,-1,1,2602780.0,0.0,2602780.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,245760,imbalanced,3840,61440,15360.0,2,1,M,-1,0,2754880.0,3559410.0,3559410.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,245760,imbalanced,3840,61440,15360.0,2,1,M,-1,0,2754880.0,3559410.0,3559410.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,245760,imbalanced,3840,61440,15360.0,2,1,M,-1,1,2634510.0,3443590.0,3443590.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,245760,imbalanced,3840,61440,15360.0,2,1,M,-1,1,2634510.0,3443590.0,3443590.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,245760,imbalanced,3840,61440,15360.0,2,2,M,-1,0,2482640.0,3329180.0,3329180.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,245760,imbalanced,3840,61440,15360.0,2,2,M,-1,0,2482640.0,3329180.0,3329180.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,245760,imbalanced,3840,61440,15360.0,2,2,M,-1,1,2515980.0,3441640.0,3441640.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,245760,imbalanced,3840,61440,15360.0,2,2,M,-1,1,2515980.0,3441640.0,3441640.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,1SM,4096,6144,245760,imbalanced,3840,61440,15360.0,4,2,M,-1,0,2481060.0,3416570.0,3416570.0,92_blackwell_moe_gemm_rcgrouped
RCGrouped-FP8,2SM,4096,6144,245760,imbalanced,3840,61440,15360.0,4,2,M,-1,0,2481060.0,3416570.0,3416570.0,92_blackwell_moe_gemm_rcgrouped
